gen;best_fit;avg_fit;median_fit
5;3.265814654823773;0.16312730992371807;0.059023501057488326
10;2.433101565321147;0.21497425744078824;0.14864464003471023
15;2.433101565321147;0.19792501104337804;0.12267153362438646
20;2.433101565321147;0.23550138421969247;0.1750686306038025
25;2.433101565321147;0.17473209049639188;0.047246166735260525
30;2.433101565321147;0.16430110430096193;0.19435665357567378
35;2.433101565321147;0.06359451690311149;0.16317716654297748
40;2.433101565321147;0.20866511422913295;0.16214217688011903
45;2.433101565321147;0.3212545740748053;0.35572667296478533
50;2.433101565321147;0.21961914074911126;0.11449738409342564
55;2.511324557414987;0.027317942422524392;0.09860286946286362
60;2.756186199994336;0.15382673210638476;0.07066524162141921
65;2.756186199994336;0.022557111366275084;0.101366686538987
70;3.4093454676645316;0.12094406918867022;0.11601218746128344
75;2.756186199994336;0.15240980717420838;0.13880384004940616
80;2.511324557414987;0.11179873300229347;0.051971281271871256
85;2.511324557414987;0.17188576754329862;0.1043372538450324
90;3.332825316549911;0.028602385497479496;0.012836150207619884
95;2.511324557414987;-0.07483237204742953;0.022195261812372635
100;5.694738816755936;-0.11373286993632153;0.016845876665424142
105;3.4606446881685047;-0.034630151871945604;0.029100293976264624
110;3.4606446881685047;-0.137345990747105;0.012701982102541032
115;6.019963614381053;-0.06064564275911282;0.011042536039269801
120;3.4606446881685047;-0.025223236088585482;0.012701982102541032
125;5.96743579414146;0.07367951487269389;0.012701982102541032
130;6.073988879063163;0.08323455992627876;0.01512492297301049
135;3.4606446881685047;-0.026434803799382935;0.014233970137987717
140;4.8902927754255945;0.08544158127894112;0.015456036924087702
145;5.91731584079915;0.019862063270064744;0.011042536039269801
150;5.97710106563605;0.01400975870821576;0.01730445756400184
155;4.979359502861835;-0.033174454825693006;0.012701982102541032
160;4.0666140264004556;0.00442645539859227;0.01730445756400184
165;5.519499593827173;-0.025265437688004967;0.01246107018648912
170;6.12970414161785;-0.03554547178419922;0.011743336980014812
175;5.83553930822976;0.002460222696382646;0.013033076689953849
180;4.546926897050302;0.03807547664115511;0.012701982102541032
185;3.5471109002451193;0.02719237994770706;0.013458974041443528
190;3.5704971499699854;-0.04714109033940009;0.01244092489835999
195;3.835755830196317;0.04508195145073994;0.019364506055438047
200;5.531070970411434;-0.032659499419629055;0.012701982102541032
