gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 165; 3.8371; 0.008; 0.008; 0.008; 0.008; 0.1436; 0.008
10; 0; 272; 7.3508; 0.0083; 0.0083; 0.0083; 0.0083; 0.0099; 0.0083
15; 0; 639; 7.3602; 0.0083; 0.0083; 0.0083; 0.0083; 0.0098; 0.0083
20; 0; 639; 7.3602; 0.0083; 0.0083; 0.0083; 0.0083; 0.0098; 0.0083
25; 0; 1026; 7.4085; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
30; 0; 1026; 7.4085; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
35; 0; 1026; 7.4085; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
40; 0; 1026; 7.4085; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
45; 0; 1026; 7.4085; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
45; 12; 28; 4.6765; -1.5152; 1.1505; 0.679; 7.5549; -1.4263; 0.9086
45; 7; 1374; 4.033; 3.8358; 1.7082; 2.5543; 5.0275; -2.5446; 3.0939
45; 13; 37; 2.8994; 0.3407; 0.265; 4.6368; 3.0315; -0.0272; 0.4495
50; 0; 2002; 7.5553; 1.4943; 0.401; 1.0736; 3.7127; 0.4591; 0.0236
50; 12; 199; 4.8002; -0.8095; 4.7009; 2.4164; 2.2641; 2.4695; -0.8287
50; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
50; 13; 86; 3.206; 5.4571; 3.4899; -0.6024; -1.4019; 3.941; 2.2831
55; 0; 2002; 7.5553; 1.4943; 0.401; 1.0736; 3.7127; 0.4591; 0.0236
55; 12; 199; 4.8002; -0.8095; 4.7009; 2.4164; 2.2641; 2.4695; -0.8287
55; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
55; 13; 86; 3.206; 5.4571; 3.4899; -0.6024; -1.4019; 3.941; 2.2831
60; 0; 2002; 7.405; 0.7034; 0.1981; -0.8112; 0.7034; 0.0217; 0.257
60; 12; 199; 5.3241; 3.2526; 4.2087; 1.2507; 2.5149; 0.4337; 0.421
60; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
60; 13; 86; 3.206; 5.4571; 3.4899; -0.6024; -1.4019; 3.941; 2.2831
65; 0; 2002; 7.405; 0.7034; 0.1981; -0.8112; 0.7034; 0.0217; 0.257
65; 12; 880; 7.5542; 0.5655; 3.6187; 0.9033; 4.328; 2.1038; 3.542
65; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
65; 13; 86; 3.5756; 2.7274; 4.708; -0.3586; 3.5846; -0.7067; 1.6149
70; 0; 2002; 7.405; 0.7034; 0.1981; -0.8112; 0.7034; 0.0217; 0.257
70; 12; 1240; 4.3375; 2.645; 3.5948; 5.1805; 3.6649; 0.7586; 0.8202
70; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
70; 13; 86; 3.5756; 2.7274; 4.708; -0.3586; 3.5846; -0.7067; 1.6149
75; 0; 2002; 7.405; 0.7034; 0.1981; -0.8112; 0.7034; 0.0217; 0.257
75; 12; 1240; 4.3375; 2.645; 3.5948; 5.1805; 3.6649; 0.7586; 0.8202
75; 7; 288; 3.1464; 1.0834; 0.7901; -2.5342; 1.0834; -1.4425; 1.8125
75; 13; 86; 3.5756; 2.7274; 4.708; -0.3586; 3.5846; -0.7067; 1.6149
