gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 909; 0.5957; 0.86; 0.68; 0.2134; 0.86; 0.3707; 0.3807
5; 0; 1088; 0.152; 0.2318; 0.2318; 0.2321; 0.2318; 0.243; 0.2328
5; 0; 410; 1.0005; -2.2434; 0.6352; 0.237; -2.2434; 0.3415; 0.383
5; 0; 751; 0.7618; 0.4666; 0.6219; 0.2498; 0.4666; -0.7332; 0.3331
5; 0; 836; 0.8651; 0.7985; 0.6276; 0.2534; 0.7985; 0.5366; 0.2951
5; 0; 722; 0.3487; 0.3178; 0.3259; 0.2913; 0.3178; 0.3096; 0.3218
10; 0; 2279; 0.7091; 0.8642; 0.6698; 0.1329; 0.8642; 0.3925; 0.3936
10; 0; 751; 0.7618; 0.4666; 0.6219; 0.2498; 0.4666; -0.7332; 0.3331
10; 0; 2229; 0.0427; 0.6947; 0.1232; 0.0975; 0.6947; 0.3526; 0.4893
10; 0; 1490; 1.1174; 0.8453; 0.6229; 0.2611; 0.8453; 0.5602; 0.4613
10; 0; 1261; 0.6803; 0.7368; 0.4916; 0.304; 0.7368; 0.4743; 0.488
10; 0; 2248; 0.0409; 1.1144; 0.5512; 0.0263; 1.1182; -0.0649; 0.1688
15; 0; 3748; 0.5553; 0.556; 0.524; 0.2079; 0.556; -4.0775; 0.4064
15; 0; 3690; 0.9172; 0.684; 0.3646; 0.2225; 0.684; 0.3646; 0.3704
15; 0; 3165; 1.0862; 0.6236; 0.6924; 0.1878; 0.6236; 0.3867; 0.3878
15; 0; 3765; 1.284; 0.6785; -0.0422; -0.9924; 0.6785; 0.4791; -0.1132
15; 0; 3629; 2.2767; 0.7973; 0.7596; 0.239; 1.6499; 0.2109; 0.4962
15; 0; 3608; 1.7673; 0.797; 0.6989; 0.2629; 0.797; 0.4519; 0.4667
20; 0; 5231; 0.0772; 0.1438; 0.1438; 0.1181; 0.1438; 0.1433; 0.1438
20; 0; 5288; 2.674; 1.1423; 0.6415; 0.1412; 1.4812; 0.34; 0.3398
20; 0; 5389; 0.198; 0.2517; 0.2517; 0.186; 0.2517; 0.2988; 0.2517
20; 0; 4933; 0.2303; 0.2223; 0.2223; 0.2223; 0.2223; 0.1542; 0.2223
20; 0; 5095; 2.0763; 0.8125; 2.2769; 2.4099; 2.6994; 0.5163; -0.7388
20; 0; 5376; -1.8453; 0.5125; 0.6348; 0.6824; 0.5125; 0.3663; 0.2279
25; 0; 7001; 0.2896; 0.3558; 0.0842; 0.1082; 0.3558; 0.1926; 0.2844
25; 0; 6877; 1.3109; 0.7442; 0.694; 0.2052; 0.7442; 0.3972; 0.4031
