gen;best_fit;avg_fit;median_fit
5;5.095696845872698;0.4734272914324446;0.13194311854658555
10;5.294780173557031;1.7333525512771848;1.5748098385403626
15;4.862367491173176;1.4303566542600212;1.081260646535699
20;5.40760221809808;1.3203366807581634;0.9437451053664849
25;5.502054129469647;1.9839894572918582;1.5876761356646556
30;5.732406548620448;1.4680751547853965;0.8754138734694119
35;5.305802601745793;0.932778051959524;0.2585850463372364
40;5.3040031529251195;1.307126159840924;0.6214138721435951
45;5.3806154152171155;0.9534679653934341;0.5421244570999928
50;5.463451372923873;0.8829351470534486;0.14466774450649642
55;5.62571288346159;0.8730531441953638;0.1656217167104449
60;5.257380846973068;0.9169397420151509;0.2510911898829072
65;5.596637121345551;0.7485643140115087;0.18204513045902032
70;5.92088070096465;0.8037948441899606;0.15218098551367468
75;5.92088070096465;1.1106138806229426;0.2313391356189412
80;5.92088070096465;0.7301956652794993;0.1701008642075994
85;6.122213681243465;1.0876159795980138;0.6503142632599297
90;6.013297418261564;1.0790740780504573;0.6941417996085104
95;6.08269880439475;0.7994256879000053;0.15538312952378558
100;6.250831968229843;1.1585361842505266;0.6878485220705056
105;6.250831968229843;1.0786715586854616;0.45575140488341254
110;5.333575119296206;0.9845853401027731;0.5079662401149307
115;5.540145015366682;1.204325512083763;0.6685757416403598
120;5.615218983623037;0.8672701054166198;0.37747102162451807
125;5.773869274657622;1.2074841231442126;0.9137788669803544
130;5.457413595303029;0.9060037033766342;0.3533522219025225
135;5.78375981031764;1.070511692670094;0.5678096887830621
140;5.445792397547798;1.1282361255509803;0.7498792656237246
145;6.26819250475944;0.9356213279332222;0.31110211457601333
150;5.8834643100287005;1.1032822620421874;0.588602619794979
155;6.06150135024385;1.0204222715396323;0.35972458710675925
160;6.187540068451432;1.0625075644521678;0.48457980006583323
165;6.004343538771707;1.0402358446596411;0.38685000547685655
170;5.484246120589668;0.8351562256867328;0.17635958870543111
175;5.571587558421477;1.0632901970510835;0.33591818040191856
180;5.906285087887208;0.9104485402728181;0.19755514488003556
185;5.88954641899286;1.1450807482349767;0.5188641301948282
190;5.8651858433403214;0.9981321478728648;0.22952319270698002
195;5.558778182782123;0.9109259181375617;0.2495761553926282
200;5.771207209950248;0.9792017295501684;0.20896667285503648
