gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
105; 17; 3217; 5.3036; -0.7271; -0.3752; 0.6788; 7.5539; -0.4859; 7.5642
105; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
110; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
110; 12; 596; 7.5477; 0.8619; 0.7695; -0.6842; 3.0244; 0.6051; 1.6729
110; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
110; 17; 3217; 5.3036; -0.7271; -0.3752; 0.6788; 7.5539; -0.4859; 7.5642
110; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
115; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
115; 12; 596; 7.5477; 0.8619; 0.7695; -0.6842; 3.0244; 0.6051; 1.6729
115; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
115; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
115; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
120; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
120; 12; 596; 7.5477; 0.8619; 0.7695; -0.6842; 3.0244; 0.6051; 1.6729
120; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
120; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
120; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
125; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
125; 12; 596; 7.5477; 0.8619; 0.7695; -0.6842; 3.0244; 0.6051; 1.6729
125; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
125; 17; 4131; 5.2668; 0.4108; 0.6534; 0.701; 2.9416; -0.555; -0.8459
125; 29; 395; 7.5603; 0.5956; 1.7915; 0.6655; 2.8125; -1.6636; 0.5733
130; 0; 3294; 7.5668; 0.6271; 4.5288; 0.6841; 7.5521; -0.9111; 0.9079
130; 12; 596; 3.3366; 3.0025; 0.9958; 0.709; 3.0842; -0.591; 0.0042
130; 15; 3294; 3.9055; 1.1967; 1.0685; -0.9586; 7.5459; 0.561; -0.905
