gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
10; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
15; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
20; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
25; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
30; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
35; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
40; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
45; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
50; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
55; 0; 119; 2.9615; -8.2514; -12.4163; -17.529; -8.2514; -7.4477; -10.0284
60; 0; 2054; 3.5926; 0.0356; 0.0356; 0.0356; 0.0356; 3.4892; 0.0356
65; 0; 2054; 3.5926; 0.0356; 0.0356; 0.0356; 0.0356; 3.4892; 0.0356
70; 0; 2054; 3.5926; 0.0356; 0.0356; 0.0356; 0.0356; 3.4892; 0.0356
75; 0; 2054; 3.5926; 0.0356; 0.0356; 0.0356; 0.0356; 3.4892; 0.0356
80; 0; 2054; 3.5926; 0.0356; 0.0356; 0.0356; 0.0356; 3.4892; 0.0356
85; 0; 3226; 3.7257; 0.0113; 0.0113; 0.0117; 0.0113; -1.3664; 0.0113
90; 0; 3226; 3.7257; 0.0113; 0.0113; 0.0117; 0.0113; -1.3664; 0.0113
90; 18; 3594; 0.0417; 0.5566; -1.2679; -0.0845; 0.5566; -0.7908; 2.9089
90; 5; 3594; 0.0417; 0.5566; -1.2679; -0.0845; 0.5566; -0.7908; 2.9089
90; 17; 3594; 0.0417; 0.5566; -1.2679; -0.0845; 0.5566; -0.7908; 2.9089
95; 0; 3791; 3.9899; 0.0405; 0.0405; 0.0405; 0.0405; 0.0269; 0.0405
95; 18; 3594; 0.0417; 0.5566; -1.2679; -0.0845; 0.5566; -0.7908; 2.9089
95; 5; 156; 7.4586; 0.9949; 2.0022; -0.0878; 2.1219; 3.0688; 0.8874
