gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 395; 0.3303; 0.233; 0.233; 0.233; 0.233; 0.3742; 0.233
5; 0; 1111; 0.1399; 0.3024; 0.3024; 0.256; 0.3024; 0.2936; 0.3024
5; 0; 824; 0.2093; 0.2566; 0.2566; 0.2566; 0.2566; -0.0049; 0.2566
5; 0; 979; 0.4682; 0.4002; 0.4008; 0.2784; 0.4002; 0.4412; 0.4008
5; 0; 432; 2.4078; 1.281; 0.7088; 0.2842; 1.4725; 0.4669; 0.4837
5; 0; 951; 0.4589; 0.4168; 0.4455; 0.2973; 0.4168; 0.4417; 0.4168
10; 0; 2165; 0.3018; 0.3983; 0.4576; 0.2026; 0.3983; 0.3166; 0.3867
10; 0; 652; 0.4459; 0.4483; 0.3366; 0.2265; 0.4483; 0.3395; 0.4306
10; 0; 2103; 0.3643; 0.6625; 0.6347; 0.3164; 0.6625; 0.5778; 0.5886
10; 0; 1963; 0.6484; 0.7508; 0.617; 0.2771; 0.7508; 0.4773; 0.4774
10; 0; 1448; 0.5438; 0.884; 0.7753; 0.5046; 0.884; 0.4416; 0.7046
10; 0; 2362; 0.1385; 2.4486; 0.7765; 2.704; 2.4486; 0.4896; -0.1203
15; 0; 3989; -0.0133; 0.0305; 0.0305; 0.0338; 0.0305; 0.1266; 0.0305
15; 0; 4011; 0.0327; 0.0699; 0.0699; 0.1119; 0.0699; 0.1001; 0.0699
15; 0; 3861; 0.6429; 0.4421; 0.2395; 0.162; 0.4421; 0.2302; 0.3715
15; 0; 3373; 0.8372; 0.7464; 0.4222; 0.279; 0.7464; 0.4219; 0.4742
15; 0; 1448; 0.5438; 0.884; 0.7753; 0.5046; 0.884; 0.4416; 0.7046
15; 0; 3961; 0.5933; 0.8909; 0.63; 0.086; 0.8909; 0.2488; 0.3342
20; 0; 5643; 0.2419; 0.206; 0.1954; 0.1224; 0.206; 0.2038; 0.206
20; 0; 5626; 0.2495; 0.2938; 0.3044; 0.0785; 0.2938; 0.1488; 0.2302
20; 0; 5598; 0.3069; 0.3104; 0.3104; 0.304; 0.3104; 0.2934; 0.3104
20; 0; 5452; 0.3808; 0.3754; 0.4735; 0.3551; 0.3754; 0.3619; 0.3754
20; 0; 5005; 1.0433; 0.7564; 0.6993; 0.1911; 0.7564; 0.3297; 0.3918
20; 0; 5471; 0.551; -2.2434; 0.3817; 0.1946; -2.2434; 0.3; 0.4195
25; 0; 7260; 0.009; -0.0066; -0.0066; -0.0001; -0.0066; 0.0111; -0.0066
25; 0; 7186; 0.4046; 0.4014; 0.3373; 0.1946; 0.4014; 0.3379; 0.39
25; 0; 6876; 1.447; 0.6717; 0.0099; 0.1786; 0.6717; 0.3306; 0.3846
25; 0; 7265; 0.28; 0.6711; 0.2598; 0.0355; 0.6711; 0.315; 0.3563
25; 0; 6947; 0.9822; 0.7835; 0.6651; 0.1905; 0.7835; 0.3453; 0.2986
25; 0; 7256; 0.7707; 1.1581; 0.6928; 0.1929; 1.1581; 0.209; 0.4672
30; 0; 8589; 0.9729; 0.9587; 0.6592; 0.1156; 0.9587; 0.1677; 0.3798
30; 0; 8597; 0.4845; 0.4456; 0.5209; 0.1397; 0.4456; 0.3848; 0.3521
30; 0; 8760; 1.1169; 1.0165; 0.8079; 0.1882; 1.0165; 0.3661; 0.3286
30; 0; 8226; 0.5477; 0.6648; 0.5903; 0.1466; 0.6648; 0.3366; 0.3252
30; 0; 8842; 0.7443; -2.2296; 0.7171; 0.2071; -2.2296; 0.412; 0.4102
30; 0; 8628; 0.6586; 0.8005; 0.8414; 0.3564; 1.212; -1.7945; -1.4688
35; 0; 10396; 0.0635; 0.4563; 0.4563; -0.1647; 0.4563; 0.4657; 0.4563
35; 0; 10167; 1.0258; 0.6095; 0.4921; 0.2612; 0.6095; 0.4168; 0.4311
35; 0; 10148; 0.5554; 0.6653; 0.571; 0.4202; 0.6653; 0.4184; 0.6653
35; 0; 10442; 1.2947; 0.6869; 0.3529; -0.3007; 0.6869; 0.3529; 0.3124
35; 0; 10008; 0.877; 0.7717; 0.4426; 0.2678; 0.7717; 0.4319; 0.4697
35; 0; 10487; 1.533; 0.7696; 0.7929; 0.2787; 0.7696; 0.4758; 0.48
40; 0; 12048; 0.3052; 0.2612; 0.3095; 0.201; 0.2612; 0.0255; 0.2815
40; 0; 12005; 0.1536; 0.3294; 0.3294; 0.2723; 0.3294; 0.3286; 0.3294
40; 0; 10148; 0.5554; 0.6653; 0.571; 0.4202; 0.6653; 0.4184; 0.6653
40; 0; 11866; 0.2345; 0.5453; 0.5082; 0.3916; 0.5453; 0.508; 0.5453
40; 0; 11439; 3.6424; 1.3528; 0.3277; 2.366; 1.4754; -1.2595; 0.4108
