gen;best_fit;avg_fit;median_fit
135;3.0878527762546177;-0.076591100676756;0.010805927554419004
140;1.3640840006812662;-0.13152960641641928;0.012495129077943756
145;1.3494731927208774;-0.31211270807301394;0.012550928950244011
150;0.9474410111319914;-0.13292016528101003;0.008048068262973052
155;0.7432878501662484;-0.20357621673873683;0.012550928950244011
160;1.0691201715248224;-0.20606715794709637;0.011892783690749642
165;0.7670455501467878;0.030745696693999038;0.012088248152311243
170;1.1147633100961774;-0.1846425032955165;0.010805927554419004
175;1.3275087025860524;-0.246965189188535;0.011140579187437022
180;1.7934151180481321;0.02360743363382761;0.012159576196352606
185;2.321602502199869;-0.21724360525397854;0.006562607540380905
190;1.583737651467583;0.11245133509977163;0.021879778059262833
195;2.9373059678116857;0.05497484801848318;0.021094250470795786
200;2.2292869038800145;-0.14203556618213917;0.0018856280855820695
