gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 1110; -3.8731; 3.6228; 1.8523; -3.4914; 4.4934; -2.526; -2.4723
10; 0; 2037; 3.9152; 3.7111; 0.7654; 0.7078; 2.1605; -0.6281; 1.1967
15; 0; 4094; 4.4945; 4.2095; 0.6681; 4.1957; 2.1801; -1.0863; 0.3056
20; 0; 5715; 2.3783; 1.6062; -0.0737; -0.1751; 1.3445; -0.6674; -1.0028
25; 0; 7235; 4.7799; 0.7737; 0.4777; 0.5549; 0.7737; -0.0216; 0.6351
30; 0; 8958; 5.4024; -0.4268; 4.2928; 4.1193; 7.5441; 3.1144; 3.3554
35; 0; 10676; 3.4406; 4.0105; 2.6968; -0.8798; 2.4212; -1.4248; 0.1288
40; 0; 12396; 7.3711; 5.1498; 0.6573; -0.8357; 4.0399; -1.0286; -0.9383
45; 0; 14072; 7.3619; 1.1192; 3.2663; 0.0237; 1.1882; 1.1568; 0.6716
50; 0; 15769; 3.8293; 1.3151; 0.9869; 0.7253; 3.2587; -0.6276; 0.9852
55; 0; 17457; 7.3676; 1.8577; 0.7116; 0.5395; 5.2355; 0.1688; -0.3355
60; 0; 19111; 3.6505; 3.9523; 0.2404; -0.7813; 2.8834; 0.3576; 0.5359
65; 0; 20802; 4.4583; 0.8358; 0.5065; 3.2067; 2.8918; 1.0074; 0.8397
70; 0; 22455; 2.98; 3.6291; 0.5183; 2.716; 2.6565; -1.2764; 1.1922
75; 0; 24182; 3.7176; 2.8472; 2.07; -1.6669; 7.3723; 0.7208; -0.9234
80; 0; 25844; 3.4283; 2.8201; -0.3008; 3.4148; 3.6353; -0.1451; -0.095
85; 0; 27530; 7.5613; 1.0563; 0.6901; 0.6847; 0.6964; -0.9611; -0.5717
90; 0; 29141; 3.588; 2.2742; 0.6061; 1.3882; 2.198; 0.8891; 0.5919
95; 0; 30861; 3.7983; 0.8596; 0.5777; 3.2398; 1.4331; 0.4182; 0.3584
100; 0; 32526; 3.8865; 4.4159; 2.7953; 0.6906; 4.7871; 7.5502; 0.2253
105; 0; 34042; 4.6619; 1.2432; 0.7336; 4.1183; 2.6936; -0.0554; 0.7054
110; 0; 35642; 3.7508; 0.7985; 0.7946; 0.7211; -0.4982; -0.6712; 0.0652
115; 0; 37365; 7.3713; -0.9184; -0.2148; 0.0742; 1.9893; -0.2093; 0.9064
120; 0; 39015; 3.0322; 0.9731; 0.6947; 4.474; 3.0292; 0.7975; 1.2517
125; 0; 40688; 7.3686; -0.0464; -0.0464; -0.0464; -0.0464; 1.9531; -0.0464
130; 0; 42319; 3.0599; 1.0034; 2.4185; 3.9185; 1.8334; -0.8837; 0.805
135; 0; 44054; 4.7406; 1.1487; 4.6636; 3.4004; 3.6831; 1.944; 0.7916
140; 0; 45748; 7.3602; 1.7568; 2.8666; 2.5428; 1.001; -1.3237; 0.3607
145; 0; 47425; 5.1151; 1.1594; -0.0322; 7.3655; 1.092; 0.5174; 2.6869
150; 0; 49037; 4.5345; 4.0537; 0.6561; 1.4019; 3.3549; 0.0834; 0.7611
155; 0; 50641; 5.1036; 0.4407; 7.3621; -2.0731; 0.4407; -0.4246; 0.4655
160; 0; 52229; 3.2109; 0.9631; -0.2318; 1.4103; 3.8092; 0.5752; 0.6857
165; 0; 53942; 3.6256; 1.3237; -0.5719; 4.0235; 1.5054; 2.5469; 0.6796
170; 0; 55587; 4.5652; 0.7744; 2.3817; 0.5489; 0.9138; 0.5251; 0.393
175; 0; 57244; 7.3608; 4.9217; 0.1336; 7.3639; 3.2534; -0.382; 0.6615
180; 0; 58892; 3.1632; 3.9792; 2.1528; -0.6811; 1.9781; -1.4458; 0.337
185; 0; 60576; 7.3607; 0.2946; 0.2399; 3.3937; 0.2946; 0.3796; 3.8986
190; 0; 62333; 3.8995; 1.0455; 1.4172; 3.6923; 1.1833; 0.7481; 1.6136
195; 0; 63979; 7.3689; -0.8919; -0.3699; -0.8088; 2.2599; 2.0208; -0.8321
200; 0; 65564; 2.9826; 2.4234; 2.3616; -0.5333; 5.3551; 0.5152; -1.4624
