gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 1135; 1.3659; 1.1769; -0.7986; 0.1427; 1.2709; -0.4272; 0.8128
5; 0; 1196; 1.5621; 1.1108; 0.3967; 1.1851; 1.33; 0.5357; -0.6584
5; 0; 1222; 7.3642; 1.7132; 1.3604; -0.8069; 3.4974; -0.8225; 0.0733
5; 0; 798; 7.3599; 2.5741; 1.9823; -1.0196; 2.4335; -1.5744; 0.6958
5; 0; 1235; 2.5141; -0.1801; 0.5451; 2.1126; 0.9406; 0.5327; 2.5238
5; 0; 1168; 7.3602; 2.239; 2.38; -0.8571; 3.5638; -0.6876; 0.6746
10; 0; 2132; 1.2192; 0.6038; 0.5532; 0.081; 0.6038; 0.2619; 0.2704
10; 0; 2660; 1.4733; 0.4172; 0.2646; 0.8029; 0.4172; 0.5297; 0.6058
10; 0; 1668; 1.7089; 0.9164; 0.5417; -0.7419; 1.1417; 0.1219; 0.9448
10; 0; 2638; 2.1066; 0.6779; 0.6209; 0.1053; 0.6779; 0.2967; 0.317
10; 0; 2640; 2.1149; 0.0083; 0.0083; 0.0083; 0.0083; 0.0099; 0.0083
10; 0; 2555; 3.0146; 1.6582; -0.7956; 0.6094; 1.403; -0.0635; -1.403
15; 0; 4039; 2.5214; 0.9977; 0.5574; -0.8789; 1.1202; 1.3692; 0.2501
15; 0; 3348; 1.2799; 0.9629; 0.5338; 0.1762; 0.9629; 0.4397; 0.3408
15; 0; 4224; 0.5839; 0.6112; 0.3142; 0.1795; 0.6112; 0.3308; 0.3643
15; 0; 4138; 0.6165; 0.6159; 0.7168; 1.4788; 0.6159; -0.2133; 0.4843
15; 0; 4182; 3.2877; -0.9482; -0.6352; 0.3358; -0.9482; 0.4296; 0.558
15; 0; 3662; 1.3409; 1.2773; 0.7302; 0.3902; 1.4223; 0.5743; 0.5801
20; 0; 5877; 0.5455; 0.8584; 0.5417; -0.9825; 0.8584; 0.1995; 0.0189
20; 0; 5876; 2.3433; 1.0394; 0.5417; -0.8171; 1.0452; 0.3977; 0.1251
20; 0; 5689; 1.9324; 1.0643; 0.2932; 2.2105; 1.0643; 0.1297; 0.2949
20; 0; 5279; 2.1337; 1.3214; 0.7304; 0.3587; 1.5365; 0.2069; 0.9003
20; 0; 5800; 1.859; 0.9318; 0.5416; 0.6745; 3.5546; 0.3384; -1.1751
20; 0; 5834; 2.0065; 1.2657; 0.7075; -0.0158; 1.379; 0.6656; 0.8887
25; 0; 7593; 0.0924; 0.062; 0.062; 0.062; 0.062; -0.0; 0.062
25; 0; 7594; -10000; -10000; -10000; -10000; -10000; -10000; -10000
25; 0; 7498; 4.2855; 0.5877; 0.3514; 3.7017; 0.5877; -0.7997; 2.4817
25; 0; 7527; 2.7318; 2.159; 0.8439; -0.7645; 7.5473; 4.8355; -0.5184
25; 0; 7524; 5.1092; 1.6403; 3.2679; 3.8535; 1.3582; 3.7204; 0.3445
25; 0; 7489; 3.0417; 1.4784; 0.3402; 1.1183; 0.1589; -0.6009; 0.4554
30; 0; 9273; 3.6894; 1.4194; 0.3343; 0.1557; 4.0565; -0.6101; 0.6198
30; 0; 9274; -10000; -10000; -10000; -10000; -10000; -10000; -10000
30; 0; 9070; 4.3557; 1.255; 0.087; 2.501; 2.7501; 0.3897; 2.7633
30; 0; 9187; 4.8816; -0.4329; 1.0059; 2.9307; 2.0658; -1.6562; 0.271
30; 0; 9197; 3.5757; 1.7789; 1.1292; 2.438; 2.2201; -0.6832; 0.0742
30; 0; 9200; 3.8412; 1.2476; -1.0681; 1.8895; 7.5531; -0.5551; 0.246
35; 0; 10953; 0.1665; -0.0464; -0.0464; -0.0464; -0.0464; 0.4464; -0.0464
35; 0; 10954; 3.5479; 1.3481; 1.6514; 0.7136; 1.6872; 0.912; 2.5356
35; 0; 10860; 4.6251; 0.9023; 0.1575; -0.8721; 2.2128; -0.7264; -0.0198
35; 0; 10810; 4.5061; 3.5316; -1.3206; 0.9591; 4.0287; -0.2673; 0.0495
35; 0; 10721; 3.7495; -0.7472; 0.8952; -0.5182; 0.1282; 0.2631; 2.5321
35; 0; 10848; 3.5696; 0.6632; 1.2236; -0.128; 3.6576; -0.7702; 0.7796
40; 0; 12633; 7.3722; 0.232; 3.4662; -0.9015; 0.9758; -1.1087; -1.8191
40; 0; 12634; 0.0055; -0.02; -0.02; -0.02; -0.02; -0.0173; -0.02
40; 0; 12562; 3.407; 0.6465; 2.1667; 3.0266; 2.4703; 0.0889; 0.5829
40; 0; 12537; 5.0161; 1.8929; 0.3441; 1.2704; 1.8604; 0.2166; -1.2709
40; 0; 12532; 2.8604; 1.2047; 1.0935; 0.7016; 4.4996; -2.1506; 1.3089
40; 0; 12572; 4.4469; 0.5597; 4.9896; 3.664; 1.9999; -0.2325; -1.4132
45; 0; 14313; 3.852; 4.7391; 0.8141; 0.7043; 7.5621; -0.9618; 0.888
45; 0; 14314; 3.699; -0.2538; 0.3063; 0.338; 4.5814; 0.382; 0.9892
45; 0; 14158; 3.3076; 3.9849; 3.4299; 0.3875; 4.5304; -1.1103; 1.0097
45; 0; 14245; 3.8885; 3.0441; 0.362; -1.577; 3.3892; 0.3733; 0.4522
45; 0; 14239; 4.342; 5.308; 0.9188; 0.6946; 2.6842; -0.6539; 0.4902
45; 0; 14238; 3.831; 0.8995; 2.5202; 2.2924; 2.4738; -0.6334; 0.1982
50; 0; 15993; -10000; -10000; -10000; -10000; -10000; -10000; -10000
50; 0; 15994; -10000; -10000; -10000; -10000; -10000; -10000; -10000
50; 0; 15910; 4.4239; 1.0979; 0.6425; 0.5249; 1.1558; 0.2117; -0.9346
50; 0; 15746; 5.5213; 2.4074; 1.7614; 0.6638; 3.6453; -0.5694; 0.8745
50; 0; 15895; 5.106; 0.5059; 0.6923; 0.5514; 0.5059; -2.1181; -1.0045
