gen;best_fit;avg_fit;median_fit
5;2.5814321244159486;-0.008718944268712012;0.13206413538071018
10;1.4620703851807415;-0.14438374504826873;0.07108360591756485
15;1.9668086233649857;-0.3340789450683906;0.052439676595168794
20;2.5609442297648637;-0.2280442009869467;0.011183006910717053
25;3.2013803532718987;-0.14222008475081965;0.04606609591938618
30;2.2636361997078955;-0.5791702175152983;0.005736261772774087
35;2.581411830285315;-0.15985769133957747;-0.0022485822291118673
40;2.651254218757205;-0.12289465357093314;0.055329886875609274
45;2.2636361997078955;-0.2700846890992074;0.01596518447539602
50;2.5382311446716983;-0.36046061435079707;0.049140644429518154
55;1.3062966993537295;-0.24067032326910454;0.05665705174770608
60;2.651295854461293;-0.41676920193382805;0.04499216319496374
65;1.5892166000066448;-0.32093634158320944;0.013884704453531183
70;1.3001278870840798;-0.21794078428633007;0.062275066335704454
75;2.5609471449764984;-0.2891813534976025;0.08768796105190035
80;2.560958436601661;-0.02485480655151078;0.13745466708036802
85;2.6512764677841436;0.08428775965592225;0.08877786057367601
90;1.4213931748580402;-0.11645965525267461;0.0700462382840305
95;1.9862699380414761;-0.009478157739709742;0.0835482118005823
100;1.0854292317277061;-0.4280343303444715;0.0913693728508248
105;2.1084318472124655;-0.1761797285579174;0.084019569244627
110;2.651273071048608;0.11088996859169;0.084019569244627
115;2.538219152593796;-0.1736558431519818;0.02467466510438987
120;2.538219152593796;-0.11291178552528842;0.084019569244627
125;0.949186391912346;-0.3730761160416793;0.0643522239368351
130;1.5553179709758924;-0.01461688977464806;0.084019569244627
135;1.4256719359713745;4.9017835501608696e-05;0.084019569244627
140;1.4652514104047099;-0.2622266614905939;0.084019569244627
145;1.4552100267436114;-0.01909329888199387;0.084019569244627
150;1.3725406947263357;-0.11822755079458867;0.09336443380807907
155;1.1643562949940616;-0.04615323414441202;0.084019569244627
