gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 43; 2.9489; 0.0156; 0.0156; 0.0156; 0.0156; -0.8932; 0.0156
10; 0; 43; 2.9489; 0.0156; 0.0156; 0.0156; 0.0156; -0.8932; 0.0156
15; 0; 43; 2.9489; 0.0156; 0.0156; 0.0156; 0.0156; -0.8932; 0.0156
20; 0; 43; 2.9489; 0.0156; 0.0156; 0.0156; 0.0156; -0.8932; 0.0156
25; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
30; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
35; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
40; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
45; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
45; 3; 46; 2.3503; 1.1436; 0.6255; -0.0903; 1.234; 0.3405; 0.2794
45; 2; 435; 1.913; 0.6742; 0.4989; 0.1421; 0.6742; -0.0631; 0.3662
45; 20; 435; 1.913; 0.6742; 0.4989; 0.1421; 0.6742; -0.0631; 0.3662
50; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
50; 3; 241; -4.7129; -0.031; -0.927; -1.5927; -0.031; -1.1123; 2.169
50; 2; 422; -0.1509; 0.7131; 0.2555; 0.1159; 0.7131; -0.0571; 0.1979
50; 20; 253; 1.2373; 0.4479; 1.089; -4.677; 0.4479; -1.2324; -1.3556
55; 0; 931; 4.2055; 0.5904; 0.2627; 0.1268; 0.5904; 0.2538; 0.1039
55; 3; 241; -4.7129; -0.031; -0.927; -1.5927; -0.031; -1.1123; 2.169
55; 2; 422; -0.1509; 0.7131; 0.2555; 0.1159; 0.7131; -0.0571; 0.1979
55; 20; 511; 1.426; 3.3138; -2.1961; -0.8926; 2.8395; -2.3654; 0.3812
60; 0; 931; 4.0635; -0.0746; -1.1748; -1.8504; 2.9385; -1.2212; -1.5367
60; 3; 241; -4.7129; -0.031; -0.927; -1.5927; -0.031; -1.1123; 2.169
60; 2; 422; 2.6162; 0.8126; 0.711; 0.089; 0.8126; 0.1344; 0.2993
60; 20; 511; 1.426; 3.3138; -2.1961; -0.8926; 2.8395; -2.3654; 0.3812
65; 0; 931; 4.0635; -0.0746; -1.1748; -1.8504; 2.9385; -1.2212; -1.5367
65; 3; 241; -4.7129; -0.031; -0.927; -1.5927; -0.031; -1.1123; 2.169
65; 2; 422; 2.6162; 0.8126; 0.711; 0.089; 0.8126; 0.1344; 0.2993
65; 20; 878; 1.5294; 1.3479; -2.1238; 3.0611; 1.2096; -0.7884; 0.1813
70; 0; 931; 4.0685; 0.8972; -0.9767; -0.1032; -1.1378; -0.1165; 0.9154
70; 3; 241; 0.6074; 1.1727; -1.5559; -1.537; 1.4887; -0.5953; 0.3013
70; 2; 931; 2.6162; 0.8126; 0.711; 0.089; 0.8126; 0.1344; 0.2993
70; 20; 1133; 1.5294; 1.3479; -2.1238; 3.0611; 1.2096; -0.7884; 0.1813
