gen;original_env_id;genome_id;env0_fit;env1_fit;env2_fit;env3_fit;env4_fit;env5_fit;env6_fit
5; 0; 96; 7.3553; -0.018; -0.018; -0.018; -0.018; -0.8203; -0.018
10; 0; 96; 7.3553; -0.018; -0.018; -0.018; -0.018; -0.8203; -0.018
15; 0; 649; 7.4086; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
20; 0; 649; 7.4086; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
25; 0; 649; 7.4086; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
30; 0; 649; 7.4086; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
35; 0; 649; 7.4086; -0.0255; -0.0255; -0.0255; -0.0255; -0.0146; -0.0255
40; 0; 1781; 7.5548; 3.0245; 0.7494; -0.6074; 2.285; -1.0792; 0.6022
45; 0; 1781; 7.5548; 3.0245; 0.7494; -0.6074; 2.285; -1.0792; 0.6022
45; 4; 44; 0.7488; 0.7594; 2.0629; 0.6738; 0.7594; 3.4724; 1.9447
45; 14; 2078; 0.0433; 1.1327; 0.6872; -1.5154; 1.8046; 0.1796; 2.0306
45; 17; 48; 0.6228; 2.724; 1.6494; 0.2308; 4.4975; 3.5826; -0.5721
50; 0; 1781; 7.5548; 3.0245; 0.7494; -0.6074; 2.285; -1.0792; 0.6022
50; 4; 44; 0.7488; 0.7594; 2.0629; 0.6738; 0.7594; 3.4724; 1.9447
50; 14; 345; 7.5565; 7.5681; 2.0008; 3.9768; 3.754; -0.4921; 1.1099
50; 17; 48; 0.6228; 2.724; 1.6494; 0.2308; 4.4975; 3.5826; -0.5721
55; 0; 1781; 7.5548; 3.0245; 0.7494; -0.6074; 2.285; -1.0792; 0.6022
55; 4; 44; 0.7488; 0.7594; 2.0629; 0.6738; 0.7594; 3.4724; 1.9447
55; 14; 345; 7.5565; 7.5681; 2.0008; 3.9768; 3.754; -0.4921; 1.1099
55; 17; 48; 0.6228; 2.724; 1.6494; 0.2308; 4.4975; 3.5826; -0.5721
60; 0; 1781; 7.5548; 3.0245; 0.7494; -0.6074; 2.285; -1.0792; 0.6022
60; 4; 827; 2.6809; 2.056; 3.1085; 2.3851; 1.2827; -0.7309; 0.0837
60; 14; 345; 7.5565; 7.5681; 2.0008; 3.9768; 3.754; -0.4921; 1.1099
60; 17; 48; 4.3016; 0.2941; 0.4712; 0.233; 1.8311; 0.4948; 1.9775
