gen;best_fit;avg_fit;median_fit
5;2.5814321244159486;-0.008718944268712012;0.13206413538071018
10;1.4620703851807415;-0.14438374504826873;0.07108360591756485
15;1.9668086233649857;-0.3340789450683906;0.052439676595168794
20;2.5609442297648637;-0.2280442009869467;0.011183006910717053
25;3.2013803532718987;-0.14222008475081965;0.04606609591938618
30;2.2636361997078955;-0.5791702175152983;0.005736261772774087
35;2.581411830285315;-0.15985769133957747;-0.0022485822291118673
40;2.651254218757205;-0.12289465357093314;0.055329886875609274
45;2.2636361997078955;-0.2890649702070945;0.009184837195342077
50;2.5382311446716983;-0.24797127759923981;0.019741742928010647
55;2.65127745635322;-0.35483726614241107;0.005860120952752568
60;2.651295854461293;-0.3661519233237487;0.02624193554090498
65;2.581544405438953;-0.2109470220629367;0.018863613452365036
70;1.3001278870840798;-0.36508570115667266;0.013382966182888978
75;2.5609471449764984;-0.4241548901695596;0.0014826145134620439
80;2.560958436601661;-0.23587829481476938;0.038908360129555675
85;2.6512764677841436;-0.13539834570901124;0.054538951339555
90;4.500040657594594;-0.24584372351043132;0.043399408131166606
95;4.028319739287382;-0.17529806643420065;0.08277938514172378
100;4.028319739287382;-0.39832564617904154;0.03382033112529714
105;4.028319739287382;-0.23880001080937857;0.04092417794328007
110;4.028319739287382;-0.11663671945968815;0.084019569244627
115;4.028319739287382;-0.2664279874055757;0.037002913109901725
120;4.028319739287382;-0.20218890201043935;0.08293028673603225
125;4.028319739287382;-0.31527924284398906;0.06698436874557406
130;4.278398326423179;-0.15515681308439774;0.084019569244627
135;4.278398326423179;-0.3539964263038226;0.0466357773460116
140;2.5609518583944917;-0.16931429231442266;0.084019569244627
145;3.7149537504785988;-0.26890806543751145;0.07875066151436275
150;6.584889489584878;-0.36018833935080374;0.036201933386684315
