pop_size;best_fit;num_species
128;1.3974418601219427;6
129;4.929073237654418;9
127;4.929073237654418;14
126;4.929073237654418;16
129;4.929073237654418;23
127;4.929073237654418;27
125;4.929073237654418;30
129;4.929073237654418;33
125;4.929073237654418;36
135;4.929073237654418;39
139;4.929073237654418;42
141;4.929073237654418;47
133;4.929073237654418;50
130;4.929073237654418;50
137;4.929073237654418;50
132;4.929073237654418;50
128;4.929073237654418;52
135;4.929073237654418;51
134;4.929073237654418;51
134;4.929073237654418;51
141;4.929073237654418;49
136;4.929073237654418;50
133;4.929073237654418;47
128;4.939658254673423;45
133;4.939658254673423;48
131;4.939658254673423;47
124;4.939658254673423;45
139;4.939658254673423;46
130;4.939658254673423;43
128;4.939658254673423;41
120;4.939658254673423;43
125;4.939658254673423;41
135;4.939658254673423;43
139;4.939658254673423;45
138;4.939658254673423;45
134;4.939658254673423;44
143;5.3873699480373665;48
138;5.3873699480373665;50
138;5.3873699480373665;51
130;5.3873699480373665;46
142;5.3873699480373665;46
142;5.3873699480373665;45
141;5.3873699480373665;45
142;5.3873699480373665;44
134;5.3873699480373665;40
131;5.3873699480373665;41
131;5.3873699480373665;41
128;5.3873699480373665;45
142;5.3873699480373665;45
139;5.3873699480373665;45
135;5.3873699480373665;44
141;5.3873699480373665;44
137;5.3873699480373665;45
123;5.3873699480373665;47
124;5.3873699480373665;48
122;6.080866359333003;48
130;6.080866359333003;50
129;6.080866359333003;50
122;6.080866359333003;48
129;6.080866359333003;53
149;6.080866359333003;54
144;6.080866359333003;50
129;6.080866359333003;47
125;6.080866359333003;46
124;6.080866359333003;48
124;6.080866359333003;49
127;6.080866359333003;49
129;6.080866359333003;52
142;6.080866359333003;54
144;6.080866359333003;51
142;6.080866359333003;54
139;6.080866359333003;51
134;6.080866359333003;49
133;6.080866359333003;51
132;6.080866359333003;49
129;6.080866359333003;48
129;6.080866359333003;49
125;6.080866359333003;51
133;6.080866359333003;47
128;6.080866359333003;46
138;6.080866359333003;49
135;6.080866359333003;50
132;6.080866359333003;48
127;6.080866359333003;48
125;6.080866359333003;47
127;6.080866359333003;48
124;6.080866359333003;46
140;6.080866359333003;46
141;6.080866359333003;44
134;6.080866359333003;44
141;6.080866359333003;46
144;6.080866359333003;48
141;6.080866359333003;48
135;6.080866359333003;47
130;6.080866359333003;50
134;6.080866359333003;50
134;6.080866359333003;51
130;6.080866359333003;51
130;6.080866359333003;50
130;6.080866359333003;51
136;6.080866359333003;55
140;6.080866359333003;52
138;6.080866359333003;52
129;6.080866359333003;49
129;6.080866359333003;49
131;6.080866359333003;47
