pop_size;best_fit;num_species
128;2.755491233667896;8
127;4.543199347451683;11
129;7.451184895713915;16
130;7.451184895713915;18
129;7.451184895713915;22
134;7.451184895713915;27
131;7.451184895713915;32
135;7.451184895713915;40
135;7.451184895713915;43
131;7.451184895713915;45
130;7.451184895713915;46
129;7.451184895713915;47
131;7.451184895713915;48
138;7.451184895713915;49
135;7.451184895713915;51
136;7.451184895713915;50
135;7.451184895713915;52
139;7.451184895713915;53
144;7.451184895713915;56
144;7.45562595827505;53
136;7.45562595827505;53
134;7.45562595827505;50
125;7.45562595827505;48
124;7.45562595827505;45
139;7.45562595827505;46
131;7.45562595827505;44
140;7.45562595827505;46
129;7.45562595827505;47
130;7.45562595827505;47
136;7.45562595827505;47
129;7.45562595827505;48
127;7.45562595827505;46
136;7.45562595827505;45
125;7.45562595827505;49
131;7.45562595827505;48
132;7.45562595827505;48
124;7.45562595827505;45
134;7.45562595827505;46
139;7.45562595827505;45
142;7.45562595827505;44
133;7.45562595827505;46
136;7.4567408962121675;46
129;7.4567408962121675;46
130;7.4567408962121675;48
118;7.4567408962121675;45
118;7.4567408962121675;43
137;7.4567408962121675;47
132;7.4567408962121675;48
129;7.4567408962121675;50
126;7.4567408962121675;47
133;7.4567408962121675;47
121;7.4567408962121675;46
135;7.4567408962121675;47
127;7.4567408962121675;45
142;7.4567408962121675;50
138;7.4567408962121675;51
138;7.4567408962121675;50
139;7.4567408962121675;49
128;7.4567408962121675;48
129;7.4567408962121675;50
134;7.4567408962121675;51
131;7.4567408962121675;51
138;7.4567408962121675;51
133;7.4567408962121675;49
140;7.4567408962121675;50
133;7.4567408962121675;49
130;7.4567408962121675;49
124;7.4567408962121675;51
134;7.4567408962121675;50
131;7.4567408962121675;49
133;7.461440575544576;49
131;7.461440575544576;48
128;7.461440575544576;45
123;7.461440575544576;48
120;7.461440575544576;45
120;7.461440575544576;45
135;7.461440575544576;47
142;7.461440575544576;48
129;7.461440575544576;48
138;7.461440575544576;43
132;7.461440575544576;47
126;7.461440575544576;48
119;7.461440575544576;46
120;7.461440575544576;46
128;7.461440575544576;48
124;7.461440575544576;49
129;7.461440575544576;51
129;7.461440575544576;50
127;7.461440575544576;48
129;7.461440575544576;49
124;7.461440575544576;52
127;7.461440575544576;51
123;7.461440575544576;50
134;7.461440575544576;48
136;7.461440575544576;51
134;7.461440575544576;52
126;7.461440575544576;50
133;7.461440575544576;52
138;7.461440575544576;52
144;7.461440575544576;56
142;7.461440575544576;53
138;7.461440575544576;55
145;7.461440575544576;54
140;7.461440575544576;54
147;7.461440575544576;54
132;7.461440575544576;52
124;7.461440575544576;48
120;7.461440575544576;47
124;7.461440575544576;47
140;7.461440575544576;46
135;7.461440575544576;47
119;7.461440575544576;47
121;7.461440575544576;50
130;7.461440575544576;49
126;7.461440575544576;49
123;7.461440575544576;49
129;7.461440575544576;49
136;7.461440575544576;50
137;7.461440575544576;50
136;7.461440575544576;54
134;7.461440575544576;51
