
 ****** Running generation 0 ****** 

Population's average fitness: -586.29072 stdev: 2348.53975
Best fitness: 3.21676 - size: (2, 14) - species 98 - id 170
Average adjusted fitness: 0.895
Mean genetic distance 3.211, standard deviation 0.548
Population of 287 members in 134 species:
   ID   age  size  fitness  adj fit  stag
    13    2     2      0.1    1.000     0
    14    2     2      0.6    1.000     2
    15    2     2      0.1    1.000     2
    16    2     1     -0.9    1.000     2
    17    2     2      0.2    1.000     1
    18    2     2  -10000.0    0.000     2
    19    2     2     -1.2    0.500     2
    20    2     2      0.4    0.500     1
    21    2     6      0.4    1.000     1
    22    2     2      0.5    1.000     2
    23    2     2      0.6    1.000     1
    24    2     1     -0.3    1.000     1
    25    2     2     -0.8    1.000     2
    26    2     4     -0.6    0.999     1
    27    2     1     -0.7    1.000     2
    28    2     2     -0.6    1.000     2
    29    2     2     -0.9    1.000     1
    30    2     2      0.3    1.000     2
    31    2     2     -1.0    1.000     2
    32    2     1     -0.2    1.000     2
    33    2     2     -0.6    1.000     2
    34    2     2      0.3    1.000     0
    35    2     2      0.8    1.000     1
    36    2     2      0.3    1.000     2
    37    2     2      0.8    1.000     2
    38    2     2      0.7    1.000     1
    39    2     2      0.4    1.000     2
    40    2     2     -0.8    1.000     2
    41    2     2     -0.3    0.500     0
    42    2     2     -1.0    1.000     1
    43    2     2      0.5    1.000     0
    44    2     2     -0.8    1.000     1
    45    2     2      0.6    1.000     2
    46    2     2     -0.6    1.000     0
    47    2     2      1.5    1.000     1
    48    2     2     -1.0    1.000     2
    49    2     2     -0.7    1.000     2
    50    2     2      0.4    1.000     2
    51    2     2      0.3    1.000     0
    52    2     2     -0.8    1.000     2
    53    2     2      0.4    1.000     2
    54    2     2      0.4    1.000     2
    55    2     2      1.1    1.000     0
    56    2     2      0.3    1.000     2
    57    2     2     -0.8    1.000     2
    58    2     2      0.3    1.000     2
    59    2     2      0.4    1.000     0
    60    2     2     -0.7    1.000     1
    61    2     2      0.8    1.000     1
    62    2     2      0.6    1.000     1
    63    2     4     -0.6    0.666     1
    64    2     2     -1.1    0.500     0
    65    2     2      0.4    1.000     1
    66    2     2      0.4    1.000     2
    67    2     2     -0.6    1.000     2
    68    2     2      0.6    0.500     2
    69    2     2     -0.9    1.000     2
    70    2     2     -0.6    1.000     2
    71    2     2      0.6    1.000     2
    72    2     2      0.6    0.500     0
    73    2     2     -0.7    1.000     0
    74    2     2     -0.9    1.000     2
    75    2     2  -10000.0    0.000     2
    76    2     1      0.3    1.000     2
    77    2     2     -0.9    1.000     1
    78    2     2      0.3    1.000     2
    79    2     1      0.4    1.000     2
    80    2     2      0.2    1.000     1
    81    2     2      0.4    1.000     2
    82    2     2     -1.1    1.000     2
    83    2     2      0.5    1.000     2
    84    2     2      0.4    0.500     2
    85    2     1  -10000.0    0.000     2
    86    2     2     -0.6    1.000     0
    87    2     2      0.6    0.500     1
    88    2     2      0.6    1.000     2
    89    2     4      0.6    1.000     2
    90    2     2      0.3    0.500     2
    91    2     2     -0.8    0.500     1
    92    2     2      0.4    1.000     2
    93    2     2     -0.7    1.000     2
    94    2     2      0.3    1.000     2
    95    2     2     -0.7    1.000     2
    96    2     2      0.6    1.000     2
    97    2     2     -0.6    1.000     2
    98    2     2      3.2    1.000     2
    99    2     2     -1.0    0.500     1
   100    2     2      0.3    1.000     2
   101    2     2     -1.1    0.333     1
   102    2     2      0.4    1.000     1
   103    2     2      0.3    0.500     2
   104    2     1     -0.7    1.000     2
   105    2     2      0.8    1.000     0
   106    2     2      0.1    1.000     2
   107    2     2     -0.9    1.000     2
   108    2     2      0.4    1.000     2
   109    2     2      0.2    1.000     2
   110    2     2     -1.1    1.000     1
   111    2     2     -1.0    0.999     0
   112    2     2      0.5    1.000     1
   113    2     2     -0.9    0.500     1
   114    2     2     -0.9    0.500     0
   115    2     2      0.4    1.000     2
   116    2     2     -0.7    1.000     1
   117    2     2     -1.0    0.500     2
   118    2     2      0.6    1.000     0
   119    2     2     -0.6    1.000     1
   120    2     2     -0.1    0.500     2
   121    2     2     -0.7    1.000     2
   122    2     2     -0.7    1.000     1
   123    2     2      0.4    1.000     2
   124    2     2     -0.7    1.000     1
   125    2     1     -0.7    1.000     2
   126    2     2      0.4    1.000     1
   127    2     2      0.3    1.000     2
   128    2     2      0.4    1.000     1
   129    2     2     -0.1    1.000     2
   130    2     2      0.8    1.000     2
   131    2     2     -0.1    1.000     2
   132    2     2      0.1    1.000     2
   133    2     2     -0.9    1.000     1
   134    2     2      0.5    1.000     1
Total extinctions: 0
Generation time: 36.680 sec (36.481 average)

 ****** Running generation 3 ****** 

Population's average fitness: -1014.78713 stdev: 3019.12826
Best fitness: 3.21676 - size: (2, 14) - species 98 - id 170
Average adjusted fitness: 0.901
Mean genetic distance 3.257, standard deviation 0.561
Population of 271 members in 134 species:
   ID   age  size  fitness  adj fit  stag
  ====  ===  ====  =======  =======  ====
     1    3     2     -0.7    1.000     3
     2    3     2     -0.9    1.000     3
     3    3     2      0.7    1.000     2
     4    3     2      0.7    1.000     3
     5    3     2      1.1    1.000     2
     6    3     2      0.4    1.000     1
     7    3     4      1.1    1.000     2
     8    3     2     -0.9    1.000     0
     9    3     2     -0.9    0.500     2
    10    3     2      0.8    1.000     3
    11    3     2      0.3    1.000     3
    12    3     3      0.2    0.333     1
    13    3     2      0.4    1.000     0
    14    3     2      0.6    1.000     3
    15    3     2      0.1    1.000     3
    16    3     2     -0.9    1.000     3
    17    3     2      0.2    1.000     2
    18    3     2  -10000.0    0.000     3
    19    3     2     -1.2    0.500     3
    20    3     2      0.4    0.500     2
    21    3     3      0.4    1.000     2
    22    3     2      0.5    1.000     3
    23    3     2      0.6    1.000     2
    24    3     2     -1.0    1.000     2
    25    3     2     -0.8    1.000     3
    26    3     2     -0.3    1.000     0
    27    3     1     -0.7    1.000     3
    28    3     2     -0.6    1.000     3
    29    3     2     -0.9    1.000     2
    30    3     2      0.3    1.000     3
    31    3     2     -1.0    1.000     3
    32    3     2     -0.2    1.000     3
    33    3     2     -0.6    1.000     3
    34    3     2      0.3    1.000     1
    35    3     2      0.8    1.000     2
    36    3     2      0.3    1.000     3
    37    3     2      0.8    1.000     3
    38    3     2      0.7    1.000     2
    39    3     2      0.4    1.000     3
    40    3     2     -0.6    1.000     0
    41    3     2     -0.3    0.500     1
    42    3     2     -1.0    1.000     2
    43    3     2      0.5    1.000     1
    44    3     2     -0.8    1.000     2
    45    3     2      0.6    1.000     3
    46    3     2     -0.6    1.000     1
    47    3     1      1.5    1.000     2
    48    3     2     -1.0    1.000     3
    49    3     2     -0.7    1.000     3
    50    3     2      0.4    1.000     3
    51    3     2      0.3    1.000     1
    52    3     2     -0.8    1.000     3
    53    3     2      0.4    1.000     3
    54    3     2      0.4    1.000     3
    55    3     2      1.1    1.000     1
    56    3     2      0.3    1.000     3
    57    3     2     -0.8    1.000     3
    58    3     2      0.3    1.000     3
    59    3     2      0.4    1.000     1
    60    3     2     -0.7    1.000     2
    61    3     2      0.8    1.000     2
    62    3     2      0.6    1.000     2
    63    3     3     -0.6    1.000     2
    64    3     2     -1.1    0.500     1
    65    3     2      0.4    1.000     2
    66    3     2      0.4    1.000     3
    67    3     2     -0.6    1.000     3
    68    3     2      0.6    0.500     3
    69    3     2     -0.9    0.500     3
    70    3     2     -0.6    1.000     3
    71    3     2      0.6    1.000     3
    72    3     2      0.6    0.500     1
    73    3     2     -0.7    1.000     1
    74    3     2      0.4    1.000     0
    75    3     2  -10000.0    0.000     3
    76    3     2      0.3    1.000     3
    77    3     2     -0.9    1.000     2
    78    3     2      0.3    1.000     3
    79    3     2      0.4    1.000     3
    80    3     2      0.2    1.000     2
    81    3     2      0.4    1.000     3
    82    3     2     -1.1    1.000     3
    83    3     2      0.7    1.000     0
    84    3     2      0.4    0.500     3
    85    3     1  -10000.0    0.000     3
