pop_size;best_fit;num_species
107;0.29228913540698526;3
119;0.4642794260731021;5
107;0.47267882883250384;7
107;0.5656895182731456;7
106;0.6950002899428485;8
102;0.6950002899428485;8
104;0.6950002899428485;11
105;0.6950002899428485;11
106;0.8715863187188562;12
107;0.8715863187188562;14
100;0.8715863187188562;15
97;0.8715863187188562;15
96;0.8715863187188562;16
98;0.8715863187188562;16
100;0.8715863187188562;17
99;0.8715863187188562;17
92;0.8715863187188562;19
86;0.8715863187188562;17
98;0.8715863187188562;18
104;0.8715863187188562;20
100;0.8715863187188562;19
104;0.8715863187188562;20
107;0.8715863187188562;21
98;0.8715863187188562;20
98;0.8715863187188562;21
97;0.8715863187188562;21
96;0.8715863187188562;21
86;0.8715863187188562;20
83;0.8715863187188562;20
96;0.8715863187188562;20
89;0.8715863187188562;19
99;0.8715863187188562;21
95;0.8715863187188562;23
91;0.8715863187188562;22
89;0.8715863187188562;22
84;0.8715863187188562;23
95;0.8715863187188562;22
86;0.8715863187188562;21
94;0.8715863187188562;21
99;0.8715863187188562;21
96;0.8715863187188562;20
94;0.8715863187188562;20
86;0.8715863187188562;20
99;0.8715863187188562;23
109;0.8715863187188562;24
95;0.8715863187188562;24
97;0.8715863187188562;25
103;0.8715863187188562;26
109;0.8715863187188562;28
117;0.8715863187188562;27
107;0.8715863187188562;27
106;0.8715863187188562;27
105;0.8715863187188562;27
97;0.8715863187188562;27
101;0.8715863187188562;29
99;0.8715863187188562;26
97;0.9216194223310945;26
107;0.9653940179846698;24
97;0.9653940179846698;22
97;0.9653940179846698;20
93;0.9653940179846698;19
91;0.9653940179846698;20
103;0.9653940179846698;21
106;0.9653940179846698;24
97;0.9653940179846698;22
108;0.9653940179846698;23
106;0.9653940179846698;23
98;0.9653940179846698;23
101;0.9653940179846698;23
108;0.9653940179846698;25
109;0.9653940179846698;25
93;0.9653940179846698;24
95;0.9653940179846698;25
98;0.9653940179846698;27
96;0.9653940179846698;27
102;0.9653940179846698;27
98;0.9653940179846698;27
98;0.9653940179846698;27
99;0.9653940179846698;28
100;0.9653940179846698;28
97;0.9653940179846698;28
101;0.9653940179846698;27
100;0.9653940179846698;26
102;0.9653940179846698;27
109;0.9653940179846698;28
109;0.9653940179846698;27
109;0.9653940179846698;28
110;0.9653940179846698;27
106;0.9653940179846698;27
109;0.9653940179846698;29
109;0.9653940179846698;28
99;0.9653940179846698;29
104;0.9653940179846698;28
108;0.9653940179846698;28
107;0.9653940179846698;28
100;0.9653940179846698;26
91;0.9653940179846698;25
93;0.9653940179846698;25
90;0.9653940179846698;22
109;0.9653940179846698;23
99;0.9653940179846698;23
103;0.9653940179846698;23
96;0.9653940179846698;22
88;0.9653940179846698;22
102;0.9653940179846698;22
94;0.9653940179846698;26
95;0.9653940179846698;27
98;0.9653940179846698;29
108;0.9653940179846698;31
103;0.9653940179846698;33
101;0.9653940179846698;35
103;0.9653940179846698;34
109;0.9653940179846698;35
99;0.9653940179846698;33
104;0.9653940179846698;33
100;0.9653940179846698;32
95;0.9653940179846698;31
100;0.9653940179846698;31
110;0.9653940179846698;33
113;0.9653940179846698;33
111;0.9653940179846698;33
102;0.9653940179846698;31
