pop_size;best_fit;num_species
124;4.360763687565347;3
115;4.360763687565347;3
112;4.701496734924066;3
104;4.701496734924066;3
115;5.035132938598071;3
113;7.351445875887151;5
109;7.553088361523405;5
107;7.553088361523405;5
110;7.553088361523405;5
112;7.553088361523405;6
113;7.553088361523405;6
104;7.553088361523405;8
100;7.553088361523405;8
105;7.553088361523405;9
98;7.553088361523405;10
104;7.553088361523405;11
96;7.561418974801521;11
100;7.561418974801521;12
107;7.561418974801521;12
106;7.561418974801521;12
109;7.561418974801521;12
104;7.561418974801521;12
108;7.561418974801521;12
114;7.561418974801521;13
103;7.561418974801521;13
106;7.561418974801521;13
100;7.561418974801521;12
103;7.561418974801521;12
111;7.561418974801521;11
102;7.561418974801521;11
107;7.561418974801521;11
110;7.561418974801521;12
110;7.561418974801521;13
113;7.561418974801521;13
103;7.561418974801521;13
101;7.561418974801521;11
106;7.561418974801521;14
112;7.561418974801521;13
110;7.561418974801521;14
117;7.561418974801521;14
102;7.561418974801521;14
97;7.561418974801521;14
108;7.561418974801521;13
104;7.561418974801521;13
113;7.561418974801521;13
96;7.561418974801521;13
107;7.561418974801521;13
103;7.561418974801521;12
106;7.561418974801521;12
109;7.561418974801521;12
101;7.561418974801521;12
98;7.561418974801521;11
106;7.561418974801521;11
102;7.561418974801521;10
97;7.561418974801521;10
102;7.561418974801521;10
101;7.561418974801521;10
100;7.561418974801521;10
101;7.561418974801521;9
99;7.561418974801521;11
107;7.561418974801521;11
95;7.561418974801521;11
100;7.561418974801521;11
99;7.561418974801521;10
97;7.561418974801521;10
104;7.561418974801521;10
103;7.561418974801521;10
108;7.561418974801521;10
103;7.561418974801521;10
102;7.561418974801521;10
103;7.561418974801521;9
101;7.561418974801521;9
101;7.561418974801521;9
104;7.561418974801521;9
113;7.561418974801521;9
111;7.561418974801521;9
110;7.561418974801521;9
101;7.561418974801521;9
98;7.561418974801521;9
102;7.561418974801521;9
97;7.561418974801521;10
99;7.561418974801521;10
100;7.561418974801521;10
96;7.561418974801521;9
91;7.561418974801521;9
95;7.561418974801521;10
94;7.561418974801521;10
88;7.561418974801521;10
93;7.561418974801521;10
90;7.561418974801521;11
92;7.561418974801521;11
104;7.561418974801521;11
92;7.561418974801521;10
93;7.561418974801521;10
96;7.561418974801521;10
90;7.561418974801521;9
101;7.561418974801521;9
100;7.561418974801521;9
98;7.561418974801521;8
92;7.561418974801521;8
93;7.561418974801521;9
92;7.561418974801521;8
103;7.561418974801521;9
105;7.561418974801521;10
105;7.561418974801521;10
106;7.561418974801521;11
113;7.561418974801521;11
100;7.561418974801521;12
109;7.561418974801521;12
109;7.561418974801521;13
99;7.561418974801521;13
111;7.579451870272445;13
105;7.579451870272445;13
102;7.579451870272445;13
104;7.579451870272445;13
99;7.579451870272445;12
111;7.579451870272445;12
102;7.579451870272445;12
95;7.579451870272445;12
102;7.579451870272445;12
107;7.579451870272445;12
106;7.579451870272445;13
100;7.579451870272445;14
106;7.579451870272445;14
101;7.579451870272445;14
102;7.579451870272445;14
96;7.579451870272445;15
96;7.579451870272445;15
99;7.579451870272445;15
95;7.579451870272445;14
94;7.579451870272445;14
96;7.579451870272445;14
87;7.579451870272445;14
95;7.579451870272445;14
95;7.579451870272445;14
98;7.579451870272445;14
105;7.579451870272445;14
101;7.579451870272445;14
94;7.579451870272445;14
88;7.579451870272445;15
94;7.579451870272445;15
92;7.579451870272445;14
99;7.579451870272445;14
92;7.579451870272445;15
98;7.579451870272445;16
97;7.579451870272445;17
96;7.579451870272445;18
96;7.579451870272445;19
99;7.579451870272445;20
99;7.579451870272445;19
100;7.579451870272445;19
106;7.579451870272445;19
106;7.579451870272445;19
92;7.579451870272445;19
103;7.579451870272445;18
98;7.579451870272445;19
103;7.579451870272445;19
112;7.579451870272445;20
105;7.579451870272445;21
113;7.579451870272445;21
109;7.579451870272445;20
102;7.579451870272445;20
105;7.579451870272445;20
111;7.579451870272445;20
105;7.579451870272445;19
99;7.579451870272445;18
100;7.579451870272445;18
100;7.579451870272445;17
107;7.579451870272445;17
105;7.579451870272445;17
103;7.579451870272445;17
100;7.579451870272445;16
103;7.579451870272445;16
97;7.579451870272445;16
98;7.579451870272445;15
101;7.579451870272445;16
104;7.579451870272445;16
98;7.579451870272445;15
95;7.579451870272445;14
91;7.579451870272445;12
93;7.579451870272445;12
97;7.579451870272445;13
99;7.579451870272445;14
96;7.579451870272445;14
96;7.579451870272445;14
89;7.579451870272445;14
90;7.579451870272445;15
88;7.579451870272445;16
83;7.579451870272445;14
97;7.579451870272445;15
84;7.579451870272445;14
85;7.579451870272445;14
89;7.579451870272445;14
97;7.579451870272445;16
82;7.579451870272445;15
89;7.579451870272445;14
102;7.579451870272445;13
103;7.579451870272445;15
108;7.579451870272445;15
102;7.579451870272445;15
108;7.579451870272445;15
105;7.579451870272445;14
104;7.579451870272445;14
101;7.579451870272445;14
111;7.579451870272445;15
100;7.579451870272445;15
99;7.579451870272445;15
94;7.579451870272445;16
91;7.579451870272445;16
91;7.579451870272445;15
95;7.579451870272445;15
92;7.579451870272445;15
