pop_size;best_fit;num_species
256;0.9569867107266181;116
287;0.9569867107266181;116
266;0.9569867107266181;116
242;0.9569867107266181;116
236;0.9569867107266181;116
235;0.9569867107266181;116
234;0.9569867107266181;116
232;0.9569867107266181;116
232;0.9569867107266181;116
232;0.9569867107266181;116
232;0.9569867107266181;116
234;0.9821702623541482;60
248;1.2679504736686962;42
247;1.2679504736686962;40
248;1.2679504736686962;38
247;2.008587537227421;37
247;2.1948441116965953;38
249;2.1948441116965953;38
249;2.3046979854612486;37
249;2.3046979854612486;37
254;2.4024440232007462;38
256;2.4024440232007462;39
249;2.4024440232007462;36
250;2.4024440232007462;32
262;2.4024440232007462;28
250;2.4024440232007462;26
251;2.4024440232007462;24
250;2.4024440232007462;21
257;2.4024440232007462;19
258;2.4024440232007462;17
260;2.4024440232007462;17
257;2.4024440232007462;17
258;2.4024440232007462;17
258;2.4024440232007462;17
255;2.4024440232007462;17
257;2.4024440232007462;16
258;2.4024440232007462;16
255;2.4024440232007462;15
258;2.409557541528148;16
256;2.409557541528148;18
256;2.409557541528148;19
256;2.409557541528148;18
256;2.409557541528148;18
253;2.409557541528148;18
259;2.409557541528148;18
258;2.409557541528148;17
259;2.409557541528148;17
256;2.409557541528148;19
257;2.409557541528148;20
261;2.409557541528148;20
260;2.409557541528148;22
258;2.409557541528148;22
257;2.409557541528148;22
254;2.409557541528148;22
258;2.409557541528148;21
252;2.409557541528148;20
258;2.409557541528148;20
259;2.409557541528148;22
258;2.409557541528148;20
260;2.409557541528148;20
257;2.409557541528148;20
253;2.409557541528148;19
251;2.409557541528148;20
256;2.409557541528148;21
254;2.409557541528148;22
253;2.409557541528148;30
258;2.409557541528148;30
254;2.409557541528148;32
259;2.409557541528148;36
263;2.409557541528148;36
255;2.409557541528148;37
247;2.409557541528148;37
248;2.409557541528148;35
259;2.409557541528148;36
253;2.409557541528148;36
253;2.409557541528148;36
247;2.409557541528148;35
258;2.409557541528148;37
250;2.409557541528148;37
246;2.409557541528148;35
247;2.409557541528148;36
245;2.409557541528148;36
246;2.409557541528148;35
250;2.409557541528148;35
248;2.409557541528148;35
254;2.409557541528148;34
259;2.409557541528148;35
251;2.409557541528148;37
252;2.409557541528148;35
250;2.409557541528148;33
253;2.409557541528148;34
252;2.409557541528148;37
245;2.409557541528148;35
254;2.409557541528148;37
257;2.409557541528148;37
256;2.409557541528148;35
257;2.409557541528148;37
245;2.409557541528148;39
251;2.409557541528148;42
249;2.409557541528148;42
261;2.409557541528148;42
263;2.409557541528148;41
256;2.409557541528148;42
251;2.409557541528148;44
245;2.409557541528148;41
251;2.409557541528148;40
250;2.409557541528148;40
253;2.409557541528148;41
255;2.409557541528148;41
245;2.409557541528148;41
252;2.409557541528148;40
252;2.409557541528148;39
246;2.409557541528148;37
258;2.409557541528148;41
244;2.409557541528148;39
256;2.409557541528148;41
263;2.409557541528148;43
257;2.409557541528148;41
253;2.409557541528148;39
245;2.409557541528148;39
252;2.409557541528148;40
244;2.409557541528148;38
252;2.409557541528148;40
253;2.409557541528148;38
245;2.409557541528148;35
257;2.409557541528148;36
253;2.409557541528148;37
256;2.409557541528148;37
258;2.409557541528148;37
250;2.409557541528148;37
258;2.409557541528148;37
255;2.409557541528148;40
258;2.409557541528148;38
