pop_size;best_fit;num_species
109;1.4342567365621646;3
111;2.356606396806357;4
110;2.356606396806357;5
107;2.356606396806357;6
97;2.356606396806357;8
97;2.3913780537397638;10
109;2.6730758705262896;12
102;2.6730758705262896;13
94;3.2835425246589343;14
90;3.2835425246589343;16
91;3.2835425246589343;17
97;3.2835425246589343;17
94;3.2835425246589343;17
99;3.2835425246589343;17
92;3.2835425246589343;19
97;3.2835425246589343;19
94;3.2835425246589343;19
87;3.2835425246589343;18
93;3.2835425246589343;18
93;3.2835425246589343;18
86;3.2835425246589343;19
91;4.552221011078773;19
89;4.552221011078773;19
97;4.552221011078773;19
97;4.552221011078773;18
88;4.552221011078773;19
87;4.552221011078773;20
82;4.552221011078773;20
95;4.552221011078773;20
93;4.552221011078773;19
96;4.552221011078773;19
88;4.552221011078773;18
94;4.552221011078773;19
90;4.552221011078773;19
98;4.552221011078773;18
99;4.552221011078773;18
93;4.552221011078773;19
92;4.552221011078773;18
95;4.552221011078773;17
88;4.552221011078773;16
91;4.552221011078773;16
88;4.552221011078773;16
86;4.552221011078773;15
85;4.552221011078773;17
84;4.552221011078773;18
93;4.552221011078773;20
93;4.552221011078773;21
98;4.552221011078773;20
98;4.552221011078773;21
90;4.552221011078773;21
100;4.552221011078773;21
92;4.552221011078773;21
101;4.552221011078773;21
100;4.552221011078773;21
95;4.552221011078773;22
91;4.552221011078773;23
92;4.552221011078773;23
94;4.552221011078773;22
93;4.552221011078773;22
108;4.730294692989324;23
113;4.730294692989324;25
93;4.730294692989324;27
99;4.730294692989324;26
87;4.730294692989324;24
95;4.730294692989324;27
93;4.730294692989324;25
90;4.730294692989324;24
96;4.730294692989324;24
93;4.730294692989324;25
93;4.730294692989324;23
103;4.730294692989324;24
102;4.730294692989324;23
92;4.730294692989324;24
94;4.730294692989324;24
101;4.730294692989324;27
93;4.730294692989324;27
103;4.730294692989324;28
101;4.730294692989324;27
102;4.730294692989324;28
103;4.730294692989324;30
106;4.730294692989324;32
109;4.730294692989324;33
114;4.730294692989324;32
122;4.730294692989324;35
109;4.730294692989324;36
121;4.730294692989324;35
109;4.730294692989324;35
105;4.730294692989324;35
107;4.730294692989324;32
111;4.730294692989324;33
111;4.730294692989324;32
103;4.730294692989324;30
95;4.730294692989324;27
102;4.730294692989324;27
100;4.730294692989324;27
102;4.730294692989324;29
100;4.730294692989324;29
96;4.730294692989324;30
101;4.730294692989324;31
104;4.730294692989324;33
95;4.730294692989324;30
102;4.730294692989324;30
99;4.730294692989324;29
98;4.730294692989324;28
104;4.730294692989324;30
92;4.730294692989324;31
93;4.730294692989324;30
104;4.730294692989324;31
104;4.730294692989324;30
101;4.730294692989324;31
103;4.730294692989324;30
107;4.730294692989324;28
111;4.730294692989324;27
105;4.730294692989324;25
98;4.730294692989324;25
98;4.730294692989324;24
96;4.730294692989324;24
101;4.730294692989324;23
91;4.730294692989324;22
101;4.730294692989324;25
101;4.730294692989324;25
95;4.730294692989324;23
99;4.730294692989324;24
105;4.730294692989324;24
95;4.730294692989324;26
103;4.730294692989324;25
104;4.730294692989324;26
108;4.730294692989324;28
101;4.730294692989324;28
107;4.730294692989324;30
113;4.730294692989324;31
105;4.730294692989324;32
111;4.730294692989324;32
102;4.730294692989324;31
98;4.730294692989324;31
101;4.730294692989324;31
104;4.730294692989324;30
103;4.730294692989324;28
101;4.730294692989324;27
105;4.730294692989324;27
106;4.730294692989324;26
102;4.730294692989324;26
103;4.730294692989324;27
94;4.730294692989324;27
100;4.730294692989324;26
92;4.730294692989324;25
94;4.730294692989324;26
95;4.730294692989324;27
102;4.730294692989324;28
104;4.730294692989324;25
94;4.730294692989324;25
113;4.730294692989324;25
100;4.730294692989324;28
113;4.730294692989324;29
99;4.730294692989324;30
100;4.730294692989324;31
95;4.730294692989324;32
104;4.730294692989324;32
96;4.730294692989324;31
109;4.730294692989324;30
